tstamp,ID,phi_a,theta_a,a,fwhm,Fth,phi0,i_mu,i_sigma,radius_deg,R_Rsun,qlum_erg_s,median,log_prob,nparam
12_12_2019_12_39,237880881,2.87987615995501,0.087266462599717,13.148532,0.922392472511354,90616286040.1588,0.031415926535898,0.371856147055469,0.070416681895022,63.8364471289638,0.275151,8.8706892E+030,615.088583574826,,
12_12_2019_11_00,237880881,0.83384941601076,0.872664625997165,1.025772,1.72948588595879,90616286040.1588,0.031415926535898,0.371856147055469,0.070416681895022,16.9842676349114,0.275151,8.8706892E+030,615.088583574826,,
12_12_2019_15_52,100004076,5.35134665877669,0.959931088596881,0.949992,0.523849859706549,90616286040.1588,0.015707963267949,0.859459323010352,0.227913417647842,4.6546810823655,0.108176,1.1195352E+029,654.433146196888,,
13_12_2019_10_18,100004076,5.40134665877669,0.855211333477221,0.79166,1.67631955106096,90616286040.1588,4.18879020478639,0.859459323010352,0.227913417647842,4.24892819290584,0.108176,1.1195352E+029,654.433146196888,,
16_12_2019_11_48,212035340,10.7559583738434,0.698131700797732,78.507954,0.943291680184086,90616286040.1588,4.18879020478639,0.785398163397448,nan,143.564323932575,0.115204,8.406482E+029,128.916007422036,,
16_12_2019_12_25,212035340,10.6559583738434,0.017453292519943,116.30808,0.943291680184086,115627204638.033,4.18879020478639,0.785398163397448,0,70.8475294011705,0.115204,1.7902758E+029,128.916007422036,,
23_12_2019_13_28,237880881a,11.8,0.855211333477221,1.5,0.5,90616286040.1588,4.18879020478639,0.371856147055469,0.070416681895022,11.4856837128248,0.275151,8.8706892E+030,615.088583574826,,
23_12_2019_13_28,237880881b,14.7241012664741,0.855211333477221,0.46626,2.76717741753406,90616286040.1588,4.18879020478639,0.371856147055469,0.070416681895022,11.4856837128248,0.275151,8.8706892E+030,615.088583574826,,
13_01_2020_11_28,237880881a,11.8,0.855211333477221,1.5,0.5,90616286040.1588,4.18879020478639,0.371856147055469,0.070416681895022,11.4856837128248,0.275151,8.8706892E+030,615.088583574826,,
13_01_2020_11_28,237880881b,14.7241012664741,1.02974425867665,0.46626,2.76717741753406,90616286040.1588,4.18879020478639,0.371856147055469,0.070416681895022,11.4856837128248,0.275151,8.8706892E+030,615.088583574826,,
13_12_2019_10_18,100004076,5.78259842697523,0.855211333477221,0.79166,1.67631955106096,90616286040.1588,4.18879020478639,0.859459323010352,0.227913417647842,4.2518560490954,0.108176,1.1195352E+029,654.433146196888,,
27_01_2020_12_28,230120143,9.90861031516944,0.349065850398866,2.5,0.664316988082119,90616286040.1588,1.48352986419518,0.58973638231463,0.043372383333959,18.1383232758994,0.145216,1.1263702E+030,2352.81393307462,,
04_02_2020_12_01,100004076,34.365720846619,0.698131700797732,7,0.678988011041965,90616286040.1588,0.05,0.859459323010352,0.23040600022636,15.2781035606449,0.108176,1.1195352E+029,644.433145481567,log_probability,6
10_02_2020_09_42,100004076,34.365720846619,0.698131700797732,10,0.678988011041965,90616286040.1588,0,0.859459323010352,0.23040600022636,15.2781035606449,0.108176,1.1195352E+029,644.433146196888,log_probability,6
10_02_2020_12_34,230120143,9.91744295520208,0.349065850398866,2.5,0.664316988082119,90616286040.1588,1.5707963267949,0.419311672265809,0.031710262579699,24.4420557221977,0.198365,3.7129067E+030,2352.49110818426,log_probability,6
11_02_2020_10_07,237880881a,11.9,0.698131700797732,2.5,0.5,90616286040.1588,2.00712863979348,0.371856147055469,0.071332687695481,27.4569047109177,0.275151,8.8706892E+030,615.088583574826,log_probability_2flares,9
11_02_2020_10_07,237880881b,14.75,0.698131700797732,0.8,1.9,90616286040.1588,2.00712863979348,0.371856147055469,0.071332687695481,27.4569047109177,0.275151,8.8706892E+030,615.088583574826,log_probability_2flares,9
11_02_2020_11_16,237880881a,11.9,0.6981317007977318,2.5,0.5,90616286040.15877,2.007128639793479,0.3718561470554695,0.07133268769548094,27.45690471091769,0.27515100000000003,8.8706892e+30,615.0885835748263,log_probability_2flares2ars,10
11_02_2020_11_16,237880881b,14.75,0.6981317007977318,0.8,1.9,90616286040.15877,2.007128639793479,0.3718561470554695,0.07133268769548094,27.45690471091769,0.27515100000000003,8.8706892e+30,615.0885835748263,log_probability_2flares2ars,10
20_02_2020_12_04,100004076,11.433862854647277,0.7853981633974483,1,1.6974700276049133,90616286040.15877,-2.9670597283903604,0.8594593230103518,0.23040600022635999,4.7798513449527675,0.10817600000000001,1.1195352e+29,644.4331461968876,log_probability,6
20_02_2020_12_44,230120143a,5.72,0.3839724354387525,3.6,0.25,90616286040.15877,-2.722713633111154,0.41931167226580934,0.03171026257969871,29.770514339585407,0.198365,3.7129067e+30,2352.491108184261,log_probability_2flares,<function log_probability_2flares at 0x7f452ea817b8>
20_02_2020_12_44,230120143b,8.5,0.3839724354387525,0.1,2,90616286040.15877,-2.722713633111154,0.41931167226580934,0.03171026257969871,29.770514339585407,0.198365,3.7129067e+30,2352.491108184261,log_probability_2flares,<function log_probability_2flares at 0x7f452ea817b8>
20_02_2020_12_44,230120143a,5.72,0.3839724354387525,3.6,0.25,90616286040.15877,-2.722713633111154,0.41931167226580934,0.03171026257969871,29.770514339585407,0.198365,3.7129067e+30,2352.491108184261,log_probability_2flares,9
20_02_2020_12_44,230120143b,8.5,0.3839724354387525,0.1,2,90616286040.15877,-2.722713633111154,0.41931167226580934,0.03171026257969871,29.770514339585407,0.198365,3.7129067e+30,2352.491108184261,log_probability_2flares,9
